#{"t_start": 1764490025.1546538, "env_id": "None"}
r,l,t
225.420805,500,3816.634555
226.246321,500,3825.435262
210.072729,500,3834.386782
219.588143,500,3843.265535
229.777721,500,3852.249418
227.430511,500,3861.15896
223.986082,500,3869.840279
229.990247,500,3878.673191
223.073234,500,3887.493159
230.173446,500,3896.269089
211.170978,500,3905.020814
226.011962,500,3914.158644
220.780093,500,3922.90416
229.351503,500,3931.421587
234.022048,500,3940.071624
225.352276,500,3948.235893
236.643313,487,3956.54243
220.501808,500,3965.415704
232.337895,500,3974.32487
229.658693,500,3983.047819
218.036485,500,3991.912453
230.50619,500,4000.360508
221.009616,500,4008.958748
225.775653,500,4017.489635
227.342534,500,4026.241387
221.282158,500,4035.047005
230.752536,500,4043.835851
227.704354,500,4052.645889
224.678653,500,4061.314931
230.62506,500,4070.049498
231.353354,500,4078.807873
227.490542,500,4087.225808
220.44133,500,4095.70466
159.037024,315,4101.306822
116.519281,222,4105.477506
222.529336,500,4114.328957
218.959387,500,4123.066834
227.076716,500,4131.780528
134.51103,262,4136.685683
227.397156,500,4145.452239
228.901318,500,4154.125499
225.601504,500,4162.924477
224.809675,500,4171.671795
221.757297,500,4180.405812
230.836611,500,4188.988379
222.055571,500,4197.4233
224.117537,500,4206.14018
224.542618,500,4214.794352
229.977023,500,4223.503223
227.981711,500,4232.356005
230.41021,500,4240.992239
228.046112,500,4249.390334
131.818834,296,4254.388732
232.361371,500,4263.141367
231.577201,500,4272.534351
232.433262,500,4280.881855
219.07459,500,4289.649271
228.871004,500,4298.642288
219.33264,500,4307.478145
225.929913,500,4316.248506
220.275218,500,4324.87481
226.513893,500,4333.589453
215.663352,500,4341.824067
227.988314,500,4350.40431
229.281573,500,4359.199605
149.756977,297,4365.312978
215.46925,500,4374.007313
221.90042,500,4383.261129
235.40766,500,4392.337704
155.862757,319,4397.810683
232.551537,500,4406.386199
213.364277,500,4415.741491
230.493736,500,4424.929499
225.07107,500,4435.221639
233.598777,500,4444.760557
224.153619,500,4453.900353
224.031329,500,4462.90637
219.197013,500,4471.751703
225.102968,500,4480.525007
226.466541,500,4489.725093
223.043587,500,4498.699291
228.950739,500,4508.727458
230.628414,500,4517.587435
222.448913,500,4526.440543
224.015147,500,4535.37717
222.190204,500,4544.075431
192.722034,439,4552.091273
233.10327,494,4560.995896
223.864765,500,4569.998452
227.151539,500,4578.938256
225.372707,500,4587.927551
220.280144,500,4596.994169
227.776942,500,4605.830513
220.018564,500,4614.71468
227.540426,500,4623.59457
228.964657,500,4632.513951
224.535961,500,4641.612172
225.182885,500,4650.467336
228.142674,500,4659.635543
227.028339,500,4669.777388
226.276159,500,4678.125239
221.326357,500,4686.243557
228.816339,500,4694.625055
229.483427,500,4703.284167
224.384464,500,4712.095474
226.898006,500,4720.744025
223.463787,500,4729.404854
230.208157,500,4738.158196
227.604877,500,4746.956672
223.244912,500,4755.503626
228.537706,500,4764.115969
223.178796,466,4772.324739
228.174182,500,4781.080568
226.287768,500,4789.433977
143.098349,282,4794.527276
223.916364,500,4803.173983
226.128904,500,4811.471579
130.460529,258,4816.199973
230.790527,500,4824.894884
224.925666,500,4833.697965
233.273775,500,4842.587958
227.009662,500,4851.88581
219.809262,500,4861.677134
231.139359,500,4870.261881
225.781638,500,4878.57185
228.857754,500,4887.361953
227.931247,500,4895.753831
222.589426,500,4904.330245
223.188711,500,4912.991211
160.303214,312,4918.730746
218.305536,490,4927.418579
229.004406,500,4936.129584
224.895542,500,4945.045214
227.138355,500,4953.399021
228.765436,500,4961.981766
221.754705,500,4970.776929
225.834814,500,4980.59744
232.253051,500,4989.601336
230.236947,500,4998.557903
229.514405,500,5007.496972
224.990347,500,5016.590821
229.441701,500,5025.211327
226.578466,500,5034.850072
219.516832,500,5043.54111
225.388761,500,5054.299071
222.5498,500,5064.040651
223.056154,500,5073.20578
227.347018,500,5082.342308
164.059241,332,5088.973109
231.396622,500,5097.707498
218.293754,500,5106.334145
229.430843,500,5114.644546
216.25835,500,5123.063892
229.381081,500,5131.068788
227.129067,500,5139.146468
227.63973,500,5147.922063
202.75502,410,5154.707577
225.852547,500,5162.78398
221.144079,488,5170.56675
223.43384,500,5178.941441
229.980725,500,5187.347296
187.81154,385,5194.228252
225.96196,500,5203.114884
227.809039,500,5211.539352
224.732077,500,5220.242284
231.089795,500,5228.670865
217.851408,455,5236.177343
231.464179,500,5244.708442
228.494528,500,5253.781671
225.004653,500,5263.597493
225.897352,500,5273.906042
230.078168,500,5283.252455
220.813363,500,5293.176532
230.333924,500,5301.915857
229.75889,500,5310.907558
229.15842,500,5319.79639
222.480626,500,5328.336747
232.722356,500,5336.528982
222.943679,500,5345.358634
165.040453,335,5351.267088
223.114666,500,5360.007698
227.740772,500,5368.725567
229.202013,500,5377.775408
234.667385,500,5386.494387
228.543588,500,5394.564044
225.901642,500,5402.514801
229.082159,500,5410.563174
219.156918,500,5418.597662
227.927667,500,5426.543584
230.033319,500,5434.552762
228.377516,500,5442.618127
236.177158,500,5450.688955
234.971885,489,5458.469706
224.936518,500,5466.581239
230.971833,500,5474.582916
222.67149,500,5482.553618
229.027246,500,5490.523373
226.097817,500,5498.534944
231.004482,500,5506.42128
227.154923,500,5514.436905
228.520817,500,5522.533912
212.491253,500,5530.630451
226.958105,500,5538.604037
230.634942,500,5546.625378
225.010182,500,5554.708682
223.241736,500,5562.708413
221.006159,500,5571.499147
224.801494,500,5580.196587
229.16833,500,5589.624499
225.591379,500,5598.651407
227.503395,500,5607.220862
236.551746,500,5616.297307
231.406973,500,5625.319069
228.550206,500,5634.308846
225.063986,500,5643.548057
229.865866,500,5652.69264
228.502602,500,5662.304958
225.577563,500,5670.980298
230.715284,500,5679.71154
229.008493,500,5688.442759
223.774718,500,5697.114459
226.588724,500,5706.865913
228.840984,500,5715.93099
224.019305,500,5724.6271
231.605629,500,5733.917006
235.729013,500,5743.723626
223.749492,500,5752.47526
224.645013,500,5761.429845
223.390664,500,5770.06452
226.224938,500,5778.842468
233.138129,500,5787.528561
224.845804,500,5796.320709
222.639899,500,5804.785592
228.759424,500,5813.530422
228.683482,493,5822.154294
232.848064,500,5830.903874
228.095874,500,5839.439799
227.161929,500,5847.652526
227.880982,500,5855.898164
227.33992,500,5864.045082
229.416048,500,5872.685669
234.608331,500,5881.433912
223.439654,500,5889.687972
225.612906,500,5898.064124
228.953055,500,5906.603881
220.037543,500,5915.0075
228.200871,500,5923.920208
232.888705,500,5932.790945
232.848011,500,5941.485928
217.115698,500,5949.978741
178.032145,367,5956.976354
175.232682,360,5963.708654
225.583221,500,5972.52866
228.532893,500,5981.31847
229.438103,500,5990.097226
229.08769,500,5999.17114
222.802114,500,6008.583264
229.955305,500,6017.235356
220.298444,500,6025.713766
218.444913,500,6034.362754
222.800495,500,6043.074723
224.427649,500,6051.575752
227.232597,500,6060.371711
224.211787,474,6068.617663
217.942944,500,6077.428237
227.103839,500,6085.89436
228.144354,500,6094.330384
225.770527,500,6102.968342
219.253076,500,6111.184587
226.98897,500,6119.438753
219.338118,500,6127.899153
225.467702,500,6136.513302
227.889782,500,6145.163105
228.966786,500,6153.869255
232.144888,500,6162.53136
221.74862,500,6171.192593
224.989477,500,6180.322999
222.327319,500,6189.056856
225.766305,500,6198.365162
224.717777,500,6207.601526
228.053475,500,6218.352743
228.341903,500,6227.791418
226.170259,500,6236.926379
222.791021,500,6246.424085
226.312864,500,6255.742316
225.068532,500,6265.194795
230.622461,500,6275.464685
227.290731,500,6284.395681
220.816722,500,6293.842522
232.169213,500,6302.987118
228.347863,500,6311.931923
223.656042,500,6320.381089
225.492263,500,6328.911379
220.749203,500,6337.776565
227.773748,500,6346.360205
218.275956,500,6355.116419
223.78843,500,6363.550453
225.722296,500,6372.088988
219.412689,500,6380.568312
227.069197,500,6388.95008
227.198514,500,6397.45924
225.94871,500,6406.012425
231.505426,500,6414.477858
227.020344,500,6423.073727
224.638278,500,6431.699413
225.082591,500,6440.199628
232.547891,500,6448.880211
225.449918,500,6457.386864
225.027138,500,6466.319865
229.532313,500,6475.556082
222.660661,500,6484.776966
228.046619,500,6494.592442
226.978981,500,6503.608712
231.392823,500,6512.615134
215.012377,500,6521.232599
226.281357,500,6530.211548
231.481255,500,6539.219111
224.524267,500,6548.576266
223.716319,500,6557.589508
231.315627,500,6566.245919
223.746986,500,6575.288132
228.308357,500,6584.209504
228.375263,500,6593.285813
223.839875,500,6602.954531
223.923275,500,6612.472769
221.711404,500,6621.131792
227.318344,500,6631.58493
224.633492,500,6640.453319
227.024736,500,6649.265628
227.149251,500,6657.932402
229.78004,500,6666.246809
223.030712,500,6675.16707
216.63148,500,6684.023005
228.097394,500,6692.520594
236.654275,500,6700.891966
223.464083,500,6709.271548
196.841447,408,6716.292187
226.460672,500,6724.630568
225.601717,500,6732.989347
232.372151,500,6741.388471
229.420967,500,6749.597889
228.397423,500,6758.501942
233.597794,500,6767.006643
223.548648,500,6775.317975
229.007377,500,6783.76447
226.36135,500,6792.177454
223.76634,500,6801.036923
229.643174,500,6809.839828
230.116777,500,6818.767154
227.002496,500,6827.082477
223.791537,500,6835.45079
225.556655,500,6843.859452
228.808524,500,6852.303093
223.896034,500,6861.843989
222.211813,500,6870.371063
231.063581,500,6879.683226
223.721396,500,6891.505335
233.359468,500,6901.483853
231.791418,500,6911.377826
223.917858,500,6921.273567
225.473551,500,6931.078795
222.008935,500,6941.127728
227.277537,500,6951.281694
227.641734,500,6961.568671
221.579176,500,6971.681917
222.678075,500,6981.713714
232.958128,500,6991.765851
228.107195,500,7001.775142
218.495885,500,7011.884347
226.841062,500,7021.357202
224.688017,500,7029.625392
225.002246,500,7038.216983
230.916401,500,7046.544346
226.073006,500,7055.337372
222.698123,500,7064.119353
229.092335,500,7072.753469
221.298506,500,7081.555698
222.030747,500,7090.233967
227.648638,500,7098.826781
229.795134,500,7107.593408
226.253562,500,7116.354587
231.94181,500,7124.812799
222.477933,500,7133.377013
227.050629,500,7142.068527
230.420791,500,7151.105937
230.487913,500,7160.105495
222.933007,500,7169.56323
229.514325,500,7178.645226
226.352371,500,7186.758133
230.591298,500,7195.51378
229.527014,500,7203.81577
227.633888,500,7211.998794
229.896468,500,7220.215599
229.157362,500,7228.406606
220.674792,500,7237.199078
224.287768,500,7246.97883
221.581556,500,7256.365081
